ranking,score,movie_name,score_num
192,8.5,魔女宅急便,225681
193,8.6,完美陌生人,247233
194,8.5,谍影重重,220743
195,8.6,谍影重重2,183356
196,8.8,牯岭街少年杀人事件,123750
197,8.9,哪吒闹海,96442
198,8.7,梦之安魂曲,126170
199,8.5,青蛇,257076
200,8.9,惊魂记,98335
201,8.6,黑客帝国3：矩阵革命,181692
202,8.5,小萝莉的猴神大叔,202868
203,8.5,再次出发之纽约遇见你,201450
204,9.2,东京物语,60066
205,8.5,新龙门客栈,214286
206,8.7,海街日记,165055
207,8.8,步履不停,104728
208,8.4,源代码,453617
209,8.6,终结者2：审判日,161484
210,8.7,绿里奇迹,122160
211,8.7,末路狂花,118826
212,8.3,初恋这件小事,526729
213,8.7,无敌破坏王,215203
214,8.3,秒速5厘米,346104
215,9.2,城市之光,52659
216,8.5,无耻混蛋,250811
217,8.8,爱在午夜降临前,135774
218,8.5,这个男人来自地球,207560
219,8.7,碧海蓝天,114823
220,8.3,疯狂的石头,364698
221,8.6,勇闯夺命岛,158435
222,8.5,E.T. 外星人,176153
223,8.4,变脸,238624
224,8.6,卡萨布兰卡,139630
225,8.6,海盗电台,179535
226,8.5,发条橙,206083
227,9.1,黄金三镖客,59370
228,8.4,彗星来的那一夜,216428
229,8.5,美国丽人,206926
230,8.8,聚焦,147294
231,8.5,血钻,154628
232,8.6,荒野生存,142415
233,8.3,国王的演讲,380518
234,8.6,非常嫌疑犯,134567
235,8.5,英国病人,190252
236,9.1,迁徙的鸟,55982
237,8.6,黑鹰坠落,135319
238,9.0,我爱你,67642
239,8.9,勇士,95950
240,8.5,遗愿清单,150861
241,8.5,荒岛余生,154890
242,8.6,燕尾蝶,115139
243,8.7,枪火,112693
244,8.7,2001太空漫游,110544
245,8.6,叫我第一名,119873
246,8.3,穆赫兰道,259673
247,8.7,千钧一发,99892
248,8.7,上帝也疯狂,105546
249,8.6,大卫·戈尔的一生,109427
250,8.3,蓝色大门,294564
